;age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
40718;86;5;1;7;1;2;2;0;9;3;211;1;7;4;2;-1.1;94.199;-37.5;0.877;4963.6;1
37511;41;1;1;2;0;0;0;0;1;2;75;1;999;1;0;-2.9;92.201;-31.4;0.873;5076.2;0
546;46;0;1;6;0;0;0;1;6;3;268;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
3545;35;0;2;3;0;0;2;1;6;0;813;1;999;0;1;1.1;93.994;-36.4;4.859;5191.0;1
24148;42;7;1;3;0;2;0;0;7;1;252;1;999;0;1;-0.1;93.2;-42.0;4.191;5195.8;0
25959;47;4;1;3;0;2;0;0;7;4;86;2;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
35658;39;9;2;6;0;2;0;0;6;1;612;1;999;0;1;-1.8;92.893;-46.2;1.244;5099.1;1
1698;31;2;1;2;1;0;0;1;6;0;136;2;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
39949;69;5;0;5;0;2;0;1;4;0;359;5;999;0;1;-1.7;94.055;-39.8;0.748;4991.6;0
30136;58;5;1;0;0;2;0;0;0;2;185;1;2;1;2;-1.8;93.075;-47.1;1.365;5099.1;0
30754;44;7;1;3;0;2;0;0;6;3;358;1;999;1;0;-1.8;92.893;-46.2;1.344;5099.1;0
3433;36;1;1;0;1;2;0;1;6;2;328;4;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
35499;23;1;2;3;0;2;0;0;6;1;115;1;999;0;1;-1.8;92.893;-46.2;1.244;5099.1;0
36293;33;10;2;6;0;0;0;1;4;1;89;1;999;1;0;-2.9;92.963;-40.8;1.266;5076.2;0
870;37;1;2;2;1;2;0;1;6;4;591;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;1
21535;34;9;1;3;1;0;0;0;1;3;188;2;999;0;1;1.4;93.444;-36.1;4.963;5228.1;0
2467;35;8;2;6;1;0;0;1;6;3;443;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
6869;44;9;2;5;0;2;0;1;6;4;300;4;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
35795;36;0;2;6;0;0;0;1;6;1;12;5;999;0;1;-1.8;92.893;-46.2;1.244;5099.1;0
25734;51;2;1;6;0;0;0;0;7;4;87;2;999;1;0;-0.1;93.2;-42.0;4.12;5195.8;0
10943;29;1;1;2;0;1;1;1;4;4;27;1;999;0;1;1.4;94.465;-41.8;4.962;5228.1;0
10470;32;8;2;6;0;2;0;1;4;1;295;2;999;0;1;1.4;94.465;-41.8;4.96;5228.1;0
9529;39;6;1;6;0;0;2;1;4;1;72;1;999;0;1;1.4;94.465;-41.8;4.961;5228.1;0
7939;31;1;1;2;0;2;0;1;4;1;94;4;999;0;1;1.4;94.465;-41.8;4.865;5228.1;0
25879;31;9;1;6;0;2;0;0;7;4;124;2;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
14457;31;1;2;3;0;2;0;0;3;3;101;4;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
17879;42;1;2;1;1;2;2;0;3;3;85;1;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
27760;34;9;2;5;0;2;0;0;5;0;227;1;999;0;1;-1.8;92.843;-50.0;1.726;5099.1;1
4217;43;7;1;2;1;0;0;1;6;3;102;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
31822;42;7;1;5;0;2;0;0;6;2;103;2;999;1;0;-1.8;92.893;-46.2;1.327;5099.1;0
27953;32;0;2;6;0;2;0;0;5;1;364;3;999;0;1;-1.8;92.843;-50.0;1.52;5099.1;1
28306;25;0;2;5;0;2;0;0;0;4;67;1;999;0;1;-1.8;93.075;-47.1;1.445;5099.1;0
28981;47;0;1;2;0;2;0;0;0;0;196;1;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
17100;28;1;2;2;0;0;0;0;3;0;803;1;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
25821;31;0;1;6;0;2;0;0;7;4;779;2;999;1;0;-0.1;93.2;-42.0;4.12;5195.8;0
10676;33;7;1;3;1;2;0;1;4;3;1345;3;999;0;1;1.4;94.465;-41.8;4.961;5228.1;1
7992;41;0;1;3;0;0;0;1;4;1;56;3;999;0;1;1.4;94.465;-41.8;4.865;5228.1;0
7454;56;9;1;0;1;0;0;1;6;0;95;1;999;0;1;1.1;93.994;-36.4;4.864;5191.0;0
4764;49;1;1;0;1;2;0;1;6;4;487;5;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
4447;57;9;1;2;0;2;0;1;6;3;412;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
40892;47;0;1;3;0;2;0;0;8;0;437;1;999;1;0;-1.1;94.601;-49.5;0.972;4963.6;1
27500;29;9;2;5;0;0;0;0;7;0;394;5;999;0;1;-0.1;93.2;-42.0;4.021;5195.8;0
446;42;9;1;5;0;0;0;1;6;3;1623;1;999;0;1;1.1;93.994;-36.4;4.857;5191.0;1
39814;29;7;2;3;0;0;2;1;4;1;6;1;999;0;1;-1.7;94.055;-39.8;0.711;4991.6;0
33037;35;0;0;3;0;2;2;1;6;1;82;2;999;1;0;-1.8;92.893;-46.2;1.299;5099.1;0
2354;36;1;1;2;1;0;2;1;6;3;136;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
20292;36;9;2;5;0;0;0;0;1;1;345;3;999;0;1;1.4;93.444;-36.1;4.965;5228.1;0
36596;30;0;1;5;0;2;0;0;4;2;80;1;999;0;1;-2.9;92.963;-40.8;1.26;5076.2;0
40479;60;1;1;0;0;2;0;0;1;2;176;1;999;1;0;-1.7;94.027;-38.3;0.899;4991.6;0
26678;51;10;0;3;1;2;0;0;7;2;1166;1;999;0;1;-0.1;93.2;-42.0;4.076;5195.8;0
15993;42;0;2;6;0;0;0;0;3;3;125;4;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
14321;34;1;2;5;0;0;2;0;3;1;123;3;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
36890;49;0;1;6;0;0;0;0;4;2;259;2;999;0;1;-2.9;92.963;-40.8;1.235;5076.2;1
34605;31;1;2;2;0;2;0;0;6;2;471;1;999;0;1;-1.8;92.893;-46.2;1.266;5099.1;0
29647;45;1;1;1;0;0;0;0;0;1;293;1;1;1;2;-1.8;93.075;-47.1;1.405;5099.1;0
30937;31;1;1;2;0;0;2;0;6;3;183;1;999;1;0;-1.8;92.893;-46.2;1.344;5099.1;0
20680;41;0;1;6;0;2;0;0;1;4;460;1;999;0;1;1.4;93.444;-36.1;4.965;5228.1;0
18745;43;0;1;5;1;2;0;0;3;2;747;4;999;0;1;1.4;93.918;-42.7;4.968;5228.1;0
2466;42;0;1;1;0;0;0;1;6;3;60;2;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
10162;44;0;2;6;0;2;0;1;4;2;541;17;999;0;1;1.4;94.465;-41.8;4.958;5228.1;1
541;36;1;2;2;1;0;0;1;6;3;440;1;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
31010;39;1;1;2;0;0;0;0;6;3;233;2;999;0;1;-1.8;92.893;-46.2;1.344;5099.1;0
